Country,2023 SDG Index Score,2023 SDG Index Rank,Regions used for the SDR,SDG1: No Poverty,,SDG2: No Hunger,,SDG3: Good Health and Well-Being,,SDG4: Quality Education,,SDG5: Gender Equality,,SDG6: Clean Water and Sanitation,,SDG7: Affordable and Clean Energy,,SDG8: Decent Work and Economic Growth,,"SDG9: Industry, Innovation and Infrastructure",,SDG10: Reduced Inequalities,,SDG11: Sustainable Cities and Communities,,SDG12: Responsible Consumption and Production,,SDG13: Climate Action,,SDG14: Life Below Water,,SDG15: Life on Land,,"SDG16: Peace, Justice and Strong Institutions",,SDG17: Partnerships for the Goals,
Serbia,77.3,36,E. Europe & C. Asia,green,→,orange,➚,orange,➚,yellow,→,orange,➚,orange,↑,orange,➚,orange,➚,orange,➚,orange,↑,orange,➚,orange,➚,orange,→,grey,,red,➚,red,→,yellow,➚
Lithuania,76.8,37,OECD,yellow,➚,red,→,orange,➚,yellow,➚,yellow,➚,orange,↑,orange,➚,orange,➚,orange,➚,red,→,orange,➚,red,→,red,↓,orange,→,green,↑,orange,➚,orange,➚
Ukraine,76.5,38,E. Europe & C. Asia,grey,,orange,➚,red,➚,yellow,,orange,➚,orange,➚,orange,➚,orange,→,orange,➚,green,↑,orange,→,orange,→,yellow,→,orange,→,red,➚,red,➚,yellow,→
United States,75.9,39,OECD,yellow,➚,red,→,orange,→,yellow,➚,orange,➚,yellow,➚,orange,➚,orange,→,yellow,➚,red,→,orange,➚,red,➚,red,→,orange,➚,red,↓,red,→,red,➚
Australia,75.9,40,OECD,yellow,↓,red,→,orange,➚,yellow,→,orange,➚,orange,➚,orange,➚,yellow,➚,yellow,➚,orange,↓,yellow,➚,red,➚,red,→,orange,→,red,↓,yellow,→,red,➚
Malta,75.5,41,E. Europe & C. Asia,green,→,red,→,yellow,➚,green,➚,orange,➚,red,➚,orange,➚,yellow,➚,orange,➚,yellow,↓,yellow,➚,red,➚,orange,➚,red,→,yellow,➚,orange,→,red,➚
Georgia,75.0,42,E. Europe & C. Asia,yellow,➚,orange,➚,orange,➚,green,→,red,➚,yellow,→,yellow,➚,orange,→,orange,➚,orange,➚,orange,➚,orange,→,yellow,↓,red,↓,red,→,orange,→,orange,→
Thailand,74.7,43,East & South Asia,green,↑,red,→,red,➚,green,➚,orange,➚,orange,↑,orange,↑,orange,→,orange,➚,orange,→,orange,➚,orange,➚,orange,→,red,→,red,↓,red,→,orange,→
Bulgaria,74.6,44,E. Europe & C. Asia,green,↑,orange,➚,orange,➚,orange,↓,orange,➚,orange,→,yellow,→,yellow,➚,orange,➚,red,↓,orange,→,orange,→,orange,→,red,→,yellow,➚,orange,→,yellow,➚
Kyrgyz Republic,74.4,45,E. Europe & C. Asia,yellow,➚,orange,→,orange,➚,yellow,➚,orange,→,orange,↑,yellow,➚,red,→,orange,➚,yellow,↑,yellow,➚,yellow,➚,yellow,➚,grey,,red,→,red,→,yellow,→
Cuba,74.1,46,LAC,grey,,orange,→,orange,→,yellow,→,yellow,→,orange,➚,orange,➚,green,➚,red,➚,grey,,orange,→,yellow,➚,green,↑,red,→,red,→,red,→,green,→
Bosnia and Herzegovina,74.0,47,E. Europe & C. Asia,green,↑,orange,➚,orange,➚,orange,,orange,➚,orange,→,orange,➚,orange,➚,orange,➚,orange,,red,→,orange,→,orange,→,yellow,➚,orange,➚,orange,→,yellow,➚
Israel,74.0,48,OECD,orange,➚,red,→,green,➚,orange,→,orange,→,red,➚,orange,➚,orange,→,yellow,↑,orange,➚,orange,➚,red,→,red,➚,red,→,red,→,orange,➚,red,➚
Russian Federation,73.8,49,E. Europe & C. Asia,green,↑,orange,→,orange,➚,green,↑,orange,→,orange,➚,red,→,yellow,→,orange,➚,orange,➚,yellow,➚,orange,→,red,↓,red,→,red,→,red,→,yellow,↑
Brazil,73.7,50,LAC,yellow,↑,orange,↓,orange,➚,orange,➚,orange,➚,yellow,↑,green,↑,orange,→,yellow,→,red,→,orange,➚,orange,→,yellow,↑,red,→,red,→,red,→,yellow,➚
Argentina,73.7,51,LAC,yellow,↓,red,→,orange,→,green,➚,green,↑,orange,,orange,➚,orange,➚,orange,→,red,↓,orange,➚,red,➚,orange,➚,red,→,red,→,red,→,orange,→
Costa Rica,73.6,52,OECD,orange,↓,red,→,orange,➚,orange,→,yellow,➚,red,→,green,➚,orange,↓,red,➚,red,→,yellow,➚,red,→,yellow,➚,red,→,red,↓,red,→,orange,➚
Azerbaijan,73.5,53,E. Europe & C. Asia,green,↑,orange,→,orange,➚,yellow,➚,red,→,orange,↑,orange,→,orange,→,red,➚,green,,orange,➚,yellow,➚,orange,➚,grey,,red,➚,red,→,orange,↑
Albania,73.5,54,E. Europe & C. Asia,green,↑,orange,➚,orange,➚,yellow,↓,orange,➚,orange,↑,yellow,➚,red,→,orange,➚,yellow,↑,orange,→,orange,→,green,➚,red,→,orange,→,red,→,orange,→
Vietnam,73.3,55,East & South Asia,yellow,↑,orange,➚,red,➚,green,→,yellow,➚,orange,↑,orange,→,orange,➚,orange,➚,orange,↓,orange,➚,yellow,➚,yellow,→,red,→,red,↓,red,➚,orange,→
Armenia,73.3,56,E. Europe & C. Asia,yellow,↑,orange,→,orange,➚,orange,→,orange,➚,orange,↑,yellow,→,orange,→,orange,➚,green,↑,orange,→,yellow,→,yellow,↓,grey,,red,→,orange,→,orange,➚
Fiji,72.9,57,Oceania,yellow,↓,red,➚,red,→,yellow,➚,orange,→,orange,➚,orange,→,grey,,yellow,➚,yellow,,yellow,→,grey,,green,→,orange,➚,red,↓,orange,↓,orange,➚
